,Reference,DanSum_large,DanSum_small,DanSum_base
0,3,1,2,4
1,2,3,1,4
2,1,4,3,2
3,4,2,3,1
4,1,4,3,2
5,3,2,4,1
6,1,2,3,4
7,1,3,4,2
8,1,3,4,2
9,1,2,4,3
10,1,2,4,3
11,2,4,3,1
12,2,3,4,1
13,1,3,4,2
14,1,3,4,2
15,1,2,4,3
16,2,1,4,3
17,1,4,3,2
18,1,3,4,2
19,3,1,4,2
20,1,2,3,4
21,1,3,4,2
22,2,1,3,4
23,3,2,4,1
24,2,1,4,3
25,1,3,2,4
26,1,2,4,3
27,1,2,4,3
28,2,4,1,3
29,2,1,4,3
30,2,1,3,4
31,3,1,4,2
32,1,2,3,4
33,3,1,4,2
34,3,4,2,1
35,3,1,4,2
36,3,2,4,1
37,3,2,4,1
38,2,4,3,1
39,1,3,4,2
40,2,3,4,1
41,1,4,3,2
42,2,4,3,1
43,3,4,2,1
44,2,1,4,3
45,1,2,3,4
46,1,2,4,3
47,2,3,4,1
48,1,3,4,2
49,1,3,4,2
50,4,2,1,3
51,1,2,4,3
52,3,2,1,4
53,3,1,4,2
54,3,4,2,1
55,2,1,3,4
56,1,4,3,2
57,3,1,4,2
58,2,1,3,4
59,3,1,2,4
60,2,1,4,3
61,1,2,3,4
62,4,1,2,3
63,4,1,2,3
64,2,3,4,1
65,1,3,4,2
66,1,2,3,4
67,1,4,2,3
68,1,4,3,2
69,3,1,4,2
70,1,3,4,2
71,2,3,4,1
72,3,1,4,2
73,1,3,4,2
74,2,1,3,4
75,3,2,1,4
76,3,2,4,1
77,2,1,3,4
78,2,3,4,1
79,1,2,3,4
80,1,3,2,4
81,1,2,4,3
82,1,2,3,4
83,1,3,4,2
84,1,2,4,3
85,1,3,4,2
86,1,2,3,4
87,1,3,4,2
88,2,1,4,3
89,1,3,4,2
90,3,2,4,1
91,1,2,4,3
92,1,2,4,3
93,1,2,4,3
94,2,3,4,1
95,2,1,4,3
96,3,1,4,2
97,3,2,4,1
98,2,1,3,4
99,2,1,4,3
