,Reference,DanSum_large,DanSum_small,DanSum_base
0,3,2,4,1
1,4,3,1,2
2,1,4,3,2
3,4,3,2,1
4,2,3,4,1
5,4,1,3,2
6,1,3,4,2
7,1,3,4,2
8,2,1,4,3
9,2,1,4,3
10,1,4,3,2
11,2,4,3,1
12,2,3,4,1
13,2,1,3,4
14,2,1,3,4
15,1,2,3,4
16,2,3,4,1
17,1,4,3,2
18,1,2,4,3
19,2,3,4,1
20,1,3,2,4
21,3,4,2,1
22,4,3,2,1
23,2,3,4,1
24,4,1,2,3
25,1,3,2,4
26,1,4,2,3
27,1,3,4,2
28,1,3,2,4
29,4,3,2,1
30,3,1,4,2
31,4,1,3,2
32,1,2,4,3
33,4,2,3,1
34,2,4,3,1
35,2,3,4,1
36,3,2,4,1
37,4,3,2,1
38,4,3,1,2
39,1,3,4,2
40,3,2,4,1
41,3,4,1,2
42,2,4,3,1
43,4,3,2,1
44,3,1,4,2
45,1,3,4,2
46,2,3,4,1
47,3,4,2,1
48,1,2,4,3
49,3,1,2,4
50,4,2,3,1
51,1,4,2,3
52,3,2,1,4
53,4,2,3,1
54,4,3,2,1
55,1,2,4,3
56,2,4,3,1
57,4,2,3,1
58,2,1,3,4
59,4,1,2,3
60,1,4,3,2
61,1,2,3,4
62,4,2,3,1
63,4,1,3,2
64,3,1,4,2
65,1,4,2,3
66,3,2,1,4
67,1,4,2,3
68,1,3,4,2
69,3,1,4,2
70,2,3,4,1
71,2,4,3,1
72,3,1,4,2
73,1,3,4,2
74,3,2,4,1
75,2,3,1,4
76,1,3,4,2
77,2,1,3,4
78,2,1,4,3
79,2,1,4,3
80,1,2,3,4
81,1,3,4,2
82,1,2,4,3
83,1,3,4,2
84,1,2,3,4
85,2,1,3,4
86,1,2,3,4
87,1,4,3,2
88,2,1,3,4
89,3,1,2,4
90,3,1,4,2
91,1,3,4,2
92,1,2,3,4
93,3,2,4,1
94,1,3,4,2
95,3,1,4,2
96,3,1,4,2
97,3,2,4,1
98,2,1,3,4
99,1,2,3,4
