example;ranked1;ranked2;ranked3;ranked4;ranked5
0;b;c;e;a;d
1;c;a;b;e;d
2;a;e;d;c;b
3;d;e;b;c;a
4;a;e;d;c;b
5;d;b;e;a;c
6;a;e;b;c;d
7;a;d;b;c;e
8;a;d;b;e;c
9;a;b;d;c;e
10;a;e;b;d;c
11;d;a;c;b;e
12;d;a;e;b;c
13;a;d;e;b;c
14;a;e;d;b;c
15;a;b;d;c;e
16;b;a;e;d;c
17;a;d;e;c;b
18;a;e;d;b;c
19;b;d;a;c;e
20;a;b;c;e;d
21;a;d;b;c;e
22;e;b;a;c;d
23;e;d;b;a;c
24;b;e;a;d;c
25;a;c;e;b;d
26;a;b;d;c;e
27;a;b;e;d;c
28;e;c;a;d;b
29;b;a;e;d;c
30;b;a;e;c;d
31;b;e;d;a;c
32;a;b;e;c;d
33;b;d;e;a;c
34;d;e;c;a;b
35;b;d;a;e;c
36;d;e;b;a;c
37;d;b;a;c;e
38;d;a;c;b;e
39;a;d;e;b;c
40;d;a;b;e;c
41;a;d;c;b;e
42;d;a;c;b;e
43;e;d;c;a;b
44;b;a;d;e;c
45;e;a;b;c;d
46;a;b;d;e;c
47;d;a;b;e;c
48;a;d;e;b;c
49;a;d;b;e;c
50;c;b;d;e;a
51;a;e;b;d;c
52;c;e;b;a;d
53;e;b;d;a;c
54;d;c;a;b;e
55;b;a;c;e;d
56;a;d;c;e;b
57;b;d;a;c;e
58;b;a;e;c;d
59;b;e;c;a;d
60;b;e;a;d;c
61;a;b;e;c;d
62;b;c;d;a;e
63;b;c;d;a;e
64;d;a;e;b;c
65;a;e;d;b;c
66;a;b;c;e;d
67;a;c;d;e;b
68;a;d;c;e;b
69;b;d;a;c;e
70;e;a;d;b;c
71;d;a;e;b;c
72;e;b;d;a;c
73;a;e;d;b;c
74;b;a;c;d;e
75;e;c;b;a;d
76;e;d;b;a;c
77;e;b;a;c;d
78;d;a;b;e;c
79;a;b;c;d;e
80;a;e;c;b;d
81;a;b;d;e;c
82;a;b;e;c;d
83;a;d;e;b;c
84;a;b;e;d;c
85;e;a;d;b;c
86;a;b;c;d;e
87;a;e;d;b;c
88;b;a;e;d;c
89;a;d;b;e;c
90;d;b;e;a;c
91;a;b;d;e;c
92;e;a;b;d;c
93;a;e;b;d;c
94;d;a;b;e;c
95;e;b;a;d;c
96;b;d;a;e;c
97;d;b;a;e;c
98;b;a;c;d;e
99;b;e;a;d;c
