;1st place;2nd place;3rd place;4th place;5th place
0;d;e;b;a;c
1;c;d;e;b;a
2;e;a;d;c;b
3;d;e;c;b;a
4;e;d;a;b;c
5;b;d;c;e;a
6;e;a;d;b;c
7;a;e;d;b;c
8;b;a;d;e;c
9;b;a;d;c;e
10;a;e;d;c;b
11;d;a;c;b;e
12;d;a;b;e;c
13;b;a;c;d;e
14;b;e;a;c;d
15;a;b;c;e;d
16;d;a;b;c;e
17;a;e;d;c;b
18;a;e;b;d;c
19;d;a;b;c;e
20;a;c;b;e;d
21;e;d;c;a;b
22;d;c;e;b;a
23;d;e;a;b;c
24;e;b;c;d;a
25;a;e;c;b;d
26;a;e;c;d;b
27;a;d;b;c;e
28;e;a;c;b;d
29;e;d;c;b;a
30;b;d;e;a;c
31;b;e;d;c;a
32;a;b;e;d;c
33;d;e;b;c;a
34;d;e;a;c;b
35;d;a;e;b;c
36;e;d;b;a;c
37;d;c;b;a;e
38;c;d;e;b;a
39;a;d;e;b;c
40;d;e;b;a;c
41;c;d;a;b;e
42;d;a;e;c;b
43;e;d;c;b;a
44;b;d;a;c;e
45;e;a;d;b;c
46;e;d;a;b;c
47;d;c;a;e;b
48;a;b;d;c;e
49;e;b;c;a;d
50;d;b;c;e;a
51;a;c;e;d;b
52;e;c;b;a;d
53;e;d;b;c;a
54;d;c;e;b;a
55;a;b;d;e;c
56;d;a;e;c;b
57;d;e;b;c;a
58;b;e;a;c;d
59;e;b;c;d;a
60;e;a;d;c;b
61;a;b;c;d;e
62;e;d;b;c;a
63;b;d;c;e;a
64;e;b;d;a;c
65;e;a;c;d;b
66;c;b;a;e;d
67;a;c;d;e;b
68;a;d;b;c;e
69;b;d;a;c;e
70;e;d;a;b;c
71;d;e;a;c;b
72;e;b;d;a;c
73;e;a;d;b;c
74;d;b;a;c;e
75;e;c;a;b;d
76;e;a;d;b;c
77;b;e;a;c;d
78;b;a;d;c;e
79;b;a;d;c;e
80;a;e;b;c;d
81;a;d;e;b;c
82;a;e;b;d;c
83;a;d;b;e;c
84;a;e;b;c;d
85;b;a;c;e;d
86;a;b;c;e;d
87;a;e;d;c;b
88;b;e;a;c;d
89;b;e;c;a;d
90;b;d;a;e;c
91;a;d;e;b;c
92;a;e;b;c;d
93;d;b;e;a;c
94;a;d;b;e;c
95;e;b;d;a;c
96;b;d;a;e;c
97;d;b;a;c;e
98;b;a;c;d;e
99;a;b;e;c;d
